,Time,All,wwp,index_selo,transport,capital,oborot,kurs,roznica,ronya
0,2011-01-01,39956.9,13024.799539024814,101.1,411.6,1422.0,45.8,32.2,1362.5,2.44
1,2011-02-01,39798.6,13024.799539024814,101.2,384.5,1422.0,61.3,29.67,1355.6,2.35
2,2011-03-01,39771.2,13024.799539024814,101.1,415.9,1422.0,69.3,28.94,1466.7,3.14
3,2011-04-01,38836.9,14434.822305814265,100.9,405.0,2306.0,72.7,28.43,1486.4,2.96
4,2011-05-01,38832.8,14434.822305814265,100.7,423.0,2306.0,72.0,27.5,1533.8,4.59
5,2011-06-01,37010.0,14434.822305814265,101.4,404.1,2306.0,71.1,28.07,1553.0,3.69
6,2011-07-01,36845.2,15745.583566555268,114.1,405.3,2854.1,68.3,28.08,1600.9,3.7
7,2011-08-01,36777.8,15745.583566555268,125.2,397.8,2854.1,73.3,27.68,1654.4,4.19
8,2011-09-01,36880.6,15745.583566555268,138.5,392.7,2854.1,69.9,28.86,1645.2,3.75
9,2011-10-01,36002.0,16908.795427019773,139.6,420.4,4453.6,73.9,31.88,1703.3,4.7
10,2011-11-01,35964.4,16908.795427019773,139.6,419.6,4453.6,76.2,29.9,1696.0,4.93
11,2011-12-01,35838.1,16908.795427019773,104.2,434.7,4453.6,80.2,31.32,2046.5,5.01
12,2012-01-01,35801.4,15182.776397336604,101.6,434.2,1730.1,58.6,30.37,1524.5,4.52
13,2012-02-01,35776.5,15182.776397336604,103.0,401.8,1730.1,69.6,30.36,1524.4,4.45
14,2012-03-01,35728.9,15182.776397336604,104.0,434.8,1730.1,75.1,28.95,1640.8,4.68
15,2012-04-01,34819.9,16435.99556883768,104.1,416.0,2730.5,71.7,29.33,1650.1,5.69
16,2012-05-01,41734.7,16435.99556883768,103.8,423.5,2730.5,73.6,29.36,1712.9,5.85
17,2012-06-01,41639.3,16435.99556883768,102.4,402.4,2730.5,67.8,32.45,1749.2,4.96
18,2012-07-01,41540.1,17715.787935387263,95.5,412.5,3225.0,70.9,32.82,1794.1,5.54
